Signal_ID,Signal,State,Original_Weight,Adjusted_Weight,Final_Weight,Evidence_Type,Activation_Condition,Notes,,,,,,,,State ,Count,Summation of All signal weigths,"max(ln(weight) , 1)",ceil(ln(weight))
SIG_01,warning_dismiss_time_ms,Alert Fatigue,,,-0.35,NEGATIVE,value < 150ms,"Extremely fast dismissal requires alertness, contradicts severe fatigue",,,,,,,,Alert Fatigue,14,0.796,1,1
SIG_01,warning_dismiss_time_ms,Rushing,,,-0.35,NEGATIVE,value < 150ms,"Extremely fast dismissal requires alertness, contradicts severe fatigue",,,,,,,,Rushing,27,1.488,1,1
SIG_01,warning_dismiss_time_ms,Alert Fatigue,0.92,0.46,0.412,POSITIVE,THRESHOLD_BASED,Rapid dismissal (<300ms) strongly indicates habituation without reading,,,,,,,,Complacency,22,-2.542,1,1
SIG_01,warning_dismiss_time_ms,Complacency,0.7,0.35,0.272,POSITIVE,THRESHOLD_BASED,Rapid acceptance without review suggests complacent security posture,,,,,,,,Fatigue,32,9.124,2.210908304,2.3
SIG_01,warning_dismiss_time_ms,Fatigue,0.65,0.325,0.516,POSITIVE,THRESHOLD_BASED,Tired users dismiss quickly to avoid cognitive load,,,,,,,,Boredom / Repetition,14,-5,1,1
SIG_01,warning_dismiss_time_ms,Rushing,0.78,0.39,0.427,POSITIVE,THRESHOLD_BASED,Speed suggests time pressure though less specific than alert fatigue,,,,,,,,Cognitive Overload,31,8.096,2.091370113,2.1
SIG_02,repetitive_allow_clicks_per_hour,Alert Fatigue,0.9,0.45,0.403,POSITIVE,THRESHOLD_BASED,High frequency (>5/hour) directly indicates habituation to prompts,,,,,,,,Prioritization Errors,4,0.4,1,1
SIG_02,repetitive_allow_clicks_per_hour,Boredom / Repetition,0.7,0.35,0.1,POSITIVE,THRESHOLD_BASED,Repetitive actions indicate boredom-driven mechanical behavior,,,,,,,,Multitasking,16,8.492,2.139124544,2.2
SIG_02,repetitive_allow_clicks_per_hour,Complacency,0.78,0.39,0.303,POSITIVE,THRESHOLD_BASED,Mindless clicking suggests complacent approval behavior,,,,,,,,Stress,24,3.419,1.229348111,1.3
SIG_02,repetitive_allow_clicks_per_hour,Rushing,0.62,0.31,0.34,POSITIVE,THRESHOLD_BASED,Time pressure can lead to rapid repeated approvals,,,,,,,,Automation Bias,4,-0.45,1,1
SIG_03,alerts_dismissed_in_burst_count,Alert Fatigue,0.94,0.543,0.486,POSITIVE,THRESHOLD_BASED,Batch dismissals (>=3 in 5s) directly indicate alert saturation,,,,,,,,Communication Failures,6,-0.2,1,1
SIG_03,alerts_dismissed_in_burst_count,Cognitive Overload,0.8,0.462,0.546,POSITIVE,THRESHOLD_BASED,Burst dismissals reflect clearing cognitive burden,,,,,,,,Cognitive Load,8,1.817,1,1
SIG_03,alerts_dismissed_in_burst_count,Rushing,0.75,0.433,0.474,POSITIVE,THRESHOLD_BASED,Quick clearing of alerts to focus under emergency pressure,,,,,,,,Communication,6,-1.35,1,1
SIG_04,low_severity_alert_dismiss_count,Alert Fatigue,,,-0.55,NEGATIVE,value < 3,Not dismissing low-severity alerts contradicts desensitization,,,,,,,,Confirmation Bias,1,0.1,1,1
SIG_04,low_severity_alert_dismiss_count,Alert Fatigue,0.88,0.508,0.455,POSITIVE,THRESHOLD_BASED,Consistent dismissal of low-severity alerts indicates desensitization,,,,,,,,,,,,
SIG_04,low_severity_alert_dismiss_count,Complacency,0.75,0.433,0.336,POSITIVE,THRESHOLD_BASED,Ignoring warnings suggests complacent security posture,,,,,,,,,,,,
SIG_04,low_severity_alert_dismiss_count,Prioritization Errors,0.8,0.462,0.1,POSITIVE,THRESHOLD_BASED,Ignoring low-severity reflects poor triage prioritization,,,,,,,,,,,,
SIG_05,alert_response_latency_ms,Alert Fatigue,0.85,0.425,0.38,POSITIVE,THRESHOLD_BASED,High latency (>5min) indicates alerts piling up faster than handled,,,,,,,,,,,,
SIG_05,alert_response_latency_ms,Cognitive Overload,0.75,0.375,0.443,POSITIVE,THRESHOLD_BASED,Long delays indicate cognitive overload from alert queue,,,,,,,,,,,,
SIG_05,alert_response_latency_ms,Fatigue,0.62,0.31,0.492,POSITIVE,THRESHOLD_BASED,Tired decision-making slows alert responses,,,,,,,,,,,,
SIG_05,alert_response_latency_ms,Multitasking,0.78,0.39,0.548,POSITIVE,THRESHOLD_BASED,Delayed response suggests attention divided across channels,,,,,,,,,,,,
SIG_06,prompt_dismiss_time_ms,Rushing,,,-0.3,NEGATIVE,value < 150ms,Extremely fast dismissal requires alertness,,,,,,,,,,,,
SIG_06,prompt_dismiss_time_ms,Stress,,,-0.3,NEGATIVE,value < 150ms,Extremely fast dismissal requires alertness,,,,,,,,,,,,
SIG_06,prompt_dismiss_time_ms,Alert Fatigue,0.78,0.39,0.349,POSITIVE,THRESHOLD_BASED,Can also indicate learned dismissal pattern,,,,,,,,,,,,
